kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
bfs-rodinia-2.2.sm_75.ptx 146 : 4095 29385 0 0 0 549 549 0 0 
bfs-rodinia-2.2.sm_75.ptx 145 : 4095 26150 0 0 0 0 0 0 0 
bfs-rodinia-2.2.sm_75.ptx 144 : 4095 33493 0 0 0 549 549 0 0 
bfs-rodinia-2.2.sm_75.ptx 143 : 4095 29357 0 0 0 0 0 0 0 
bfs-rodinia-2.2.sm_75.ptx 142 : 4095 30031 0 0 0 549 549 0 0 
bfs-rodinia-2.2.sm_75.ptx 141 : 4095 38591 0 0 0 0 0 0 0 
bfs-rodinia-2.2.sm_75.ptx 140 : 4095 28074 0 0 0 0 0 0 0 
bfs-rodinia-2.2.sm_75.ptx 139 : 4095 19526 0 0 0 549 549 0 0 
bfs-rodinia-2.2.sm_75.ptx 138 : 4095 31161 0 0 0 0 0 0 0 
bfs-rodinia-2.2.sm_75.ptx 137 : 4095 39905 0 0 0 0 0 0 0 
bfs-rodinia-2.2.sm_75.ptx 149 : 32768 184768 0 0 0 0 0 0 0 
bfs-rodinia-2.2.sm_75.ptx 136 : 4095 29076 0 0 0 0 0 0 0 
bfs-rodinia-2.2.sm_75.ptx 134 : 32768 167171 0 0 0 0 0 0 549 
bfs-rodinia-2.2.sm_75.ptx 133 : 32768 209376 0 0 0 0 0 0 0 
bfs-rodinia-2.2.sm_75.ptx 132 : 32768 8178560 0 0 0 1024 1024 0 0 
bfs-rodinia-2.2.sm_75.ptx 131 : 32768 311296 0 0 0 0 0 0 0 
bfs-rodinia-2.2.sm_75.ptx 130 : 32768 214656 0 0 0 0 0 0 0 
bfs-rodinia-2.2.sm_75.ptx 129 : 32768 196608 0 0 0 0 0 0 0 
bfs-rodinia-2.2.sm_75.ptx 127 : 32768 0 0 0 0 0 0 0 0 
bfs-rodinia-2.2.sm_75.ptx 126 : 32768 198784 0 0 0 0 0 0 0 
bfs-rodinia-2.2.sm_75.ptx 125 : 32768 326016 0 0 0 0 0 0 0 
bfs-rodinia-2.2.sm_75.ptx 124 : 32768 196608 0 0 0 0 0 0 0 
bfs-rodinia-2.2.sm_75.ptx 123 : 32768 196608 0 0 0 0 0 0 0 
bfs-rodinia-2.2.sm_75.ptx 122 : 32768 362496 0 0 0 0 0 0 0 
bfs-rodinia-2.2.sm_75.ptx 121 : 32768 438272 0 0 0 0 0 0 0 
bfs-rodinia-2.2.sm_75.ptx 120 : 32768 425984 0 0 0 0 0 0 0 
bfs-rodinia-2.2.sm_75.ptx 119 : 32768 425984 0 0 0 0 0 0 0 
bfs-rodinia-2.2.sm_75.ptx 118 : 32768 395968 0 0 0 0 0 0 0 
bfs-rodinia-2.2.sm_75.ptx 117 : 32768 798720 0 0 0 0 0 0 0 
bfs-rodinia-2.2.sm_75.ptx 59 : 4096 1318112 0 0 0 2406 550 0 0 
bfs-rodinia-2.2.sm_75.ptx 58 : 4096 37859 0 0 0 0 0 0 0 
bfs-rodinia-2.2.sm_75.ptx 57 : 4096 38614 0 0 0 0 0 0 0 
bfs-rodinia-2.2.sm_75.ptx 56 : 4096 27090 0 0 0 0 0 0 0 
bfs-rodinia-2.2.sm_75.ptx 55 : 4096 25834 0 0 0 0 0 0 0 
bfs-rodinia-2.2.sm_75.ptx 54 : 4096 16920 0 0 0 550 550 0 0 
bfs-rodinia-2.2.sm_75.ptx 53 : 4096 22550 0 0 0 0 0 0 0 
bfs-rodinia-2.2.sm_75.ptx 51 : 32768 155548 0 0 0 0 0 0 550 
bfs-rodinia-2.2.sm_75.ptx 50 : 32768 196608 0 0 0 0 0 0 0 
bfs-rodinia-2.2.sm_75.ptx 49 : 32768 8167424 0 0 0 1024 1024 0 0 
bfs-rodinia-2.2.sm_75.ptx 48 : 32768 311296 0 0 0 0 0 0 0 
bfs-rodinia-2.2.sm_75.ptx 47 : 32768 221184 0 0 0 0 0 0 0 
bfs-rodinia-2.2.sm_75.ptx 46 : 32768 196608 0 0 0 0 0 0 0 
bfs-rodinia-2.2.sm_75.ptx 44 : 32768 0 0 0 0 0 0 0 0 
bfs-rodinia-2.2.sm_75.ptx 60 : 4096 25569 0 0 0 0 0 0 0 
bfs-rodinia-2.2.sm_75.ptx 31 : 32768 1060864 0 0 0 0 0 0 0 
bfs-rodinia-2.2.sm_75.ptx 32 : 32768 395840 0 0 0 0 0 0 0 
bfs-rodinia-2.2.sm_75.ptx 33 : 32768 425984 0 0 0 0 0 0 0 
bfs-rodinia-2.2.sm_75.ptx 92 : 24576 253801 0 0 0 0 0 0 0 
bfs-rodinia-2.2.sm_75.ptx 34 : 32768 425984 0 0 0 0 0 0 0 
bfs-rodinia-2.2.sm_75.ptx 93 : 24576 237869 0 0 0 0 0 0 0 
bfs-rodinia-2.2.sm_75.ptx 35 : 32768 425984 0 0 0 0 0 0 0 
bfs-rodinia-2.2.sm_75.ptx 94 : 24576 256743 0 0 0 0 0 0 0 
bfs-rodinia-2.2.sm_75.ptx 36 : 32768 425984 0 0 0 0 0 0 0 
bfs-rodinia-2.2.sm_75.ptx 95 : 24576 157457 0 0 0 0 0 0 0 
bfs-rodinia-2.2.sm_75.ptx 37 : 32768 438272 0 0 0 0 0 0 0 
bfs-rodinia-2.2.sm_75.ptx 96 : 24576 112279 0 0 0 0 0 0 1791 
bfs-rodinia-2.2.sm_75.ptx 38 : 32768 349792 0 0 0 0 0 0 0 
bfs-rodinia-2.2.sm_75.ptx 39 : 32768 236832 0 0 0 0 0 0 0 
bfs-rodinia-2.2.sm_75.ptx 40 : 32768 196608 0 0 0 0 0 0 0 
bfs-rodinia-2.2.sm_75.ptx 99 : 32768 175872 0 0 0 0 0 0 0 
bfs-rodinia-2.2.sm_75.ptx 41 : 32768 196608 0 0 0 0 0 0 0 
bfs-rodinia-2.2.sm_75.ptx 42 : 32768 319488 0 0 0 0 0 0 0 
bfs-rodinia-2.2.sm_75.ptx 43 : 32768 196608 0 0 0 0 0 0 0 
bfs-rodinia-2.2.sm_75.ptx 61 : 4096 0 0 0 0 0 0 0 0 
