kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
mmul10.1.sm_80.ptx 153 : 1024 8320 0 0 0 0 0 0 0 
mmul10.1.sm_80.ptx 152 : 1024 10816 0 0 0 128 32 0 0 
mmul10.1.sm_80.ptx 151 : 1024 11968 0 0 0 0 0 0 0 
mmul10.1.sm_80.ptx 150 : 1024 11904 0 0 0 0 0 0 0 
mmul10.1.sm_80.ptx 149 : 1024 11136 0 0 0 0 0 0 0 
mmul10.1.sm_80.ptx 147 : 1024 0 0 0 0 0 0 0 0 
mmul10.1.sm_80.ptx 146 : 1024 7168 0 0 0 0 0 0 0 
mmul10.1.sm_80.ptx 145 : 1024 19744 0 0 0 0 0 0 0 
mmul10.1.sm_80.ptx 144 : 1024 7552 0 0 0 0 0 0 0 
mmul10.1.sm_80.ptx 117 : 1024 7680 0 0 0 0 0 0 0 
mmul10.1.sm_80.ptx 116 : 1024 7520 0 0 0 0 0 0 0 
mmul10.1.sm_80.ptx 113 : 8192 65312 0 0 0 0 0 0 0 
mmul10.1.sm_80.ptx 112 : 8192 74912 0 0 0 0 0 0 0 
mmul10.1.sm_80.ptx 111 : 8192 98784 0 0 0 0 0 0 0 
mmul10.1.sm_80.ptx 110 : 8192 97056 0 0 0 0 0 0 0 
mmul10.1.sm_80.ptx 109 : 8192 99808 0 0 0 0 0 0 0 
mmul10.1.sm_80.ptx 108 : 8192 101632 0 0 0 0 0 0 0 
mmul10.1.sm_80.ptx 107 : 8192 305152 0 256 256 0 0 0 0 
mmul10.1.sm_80.ptx 106 : 8192 298016 0 256 256 0 0 0 0 
mmul10.1.sm_80.ptx 105 : 8192 103616 0 0 0 0 0 0 0 
mmul10.1.sm_80.ptx 104 : 8192 102272 0 0 0 0 0 0 0 
mmul10.1.sm_80.ptx 103 : 8192 110112 0 0 0 0 0 0 0 
mmul10.1.sm_80.ptx 102 : 8192 321760 0 256 256 0 0 0 0 
mmul10.1.sm_80.ptx 101 : 8192 315904 0 256 256 0 0 0 0 
mmul10.1.sm_80.ptx 100 : 8192 102080 0 0 0 0 0 0 0 
mmul10.1.sm_80.ptx 99 : 8192 105376 0 0 0 0 0 0 0 
mmul10.1.sm_80.ptx 98 : 8192 315904 0 256 256 0 0 0 0 
mmul10.1.sm_80.ptx 97 : 8192 316160 0 256 256 0 0 0 0 
mmul10.1.sm_80.ptx 96 : 8192 99680 0 0 0 0 0 0 0 
mmul10.1.sm_80.ptx 59 : 1024 7296 0 0 0 0 0 0 0 
mmul10.1.sm_80.ptx 58 : 1024 11008 0 0 0 0 0 0 0 
mmul10.1.sm_80.ptx 57 : 1024 7296 0 0 0 0 0 0 0 
mmul10.1.sm_80.ptx 56 : 1024 11008 0 0 0 0 0 0 0 
mmul10.1.sm_80.ptx 55 : 1024 7808 0 0 0 0 0 0 0 
mmul10.1.sm_80.ptx 54 : 1024 11168 0 0 0 0 0 0 0 
mmul10.1.sm_80.ptx 53 : 1024 11456 0 0 0 0 0 0 0 
mmul10.1.sm_80.ptx 52 : 1024 7296 0 0 0 0 0 0 0 
mmul10.1.sm_80.ptx 51 : 1024 10656 0 0 0 0 0 0 0 
mmul10.1.sm_80.ptx 50 : 1024 7200 0 0 0 0 0 0 0 
mmul10.1.sm_80.ptx 49 : 1024 7200 0 0 0 0 0 0 0 
mmul10.1.sm_80.ptx 48 : 1024 11424 0 0 0 0 0 0 0 
mmul10.1.sm_80.ptx 47 : 1024 11648 0 0 0 0 0 0 0 
mmul10.1.sm_80.ptx 46 : 1024 11456 0 0 0 0 0 0 0 
mmul10.1.sm_80.ptx 45 : 1024 7296 0 0 0 0 0 0 0 
mmul10.1.sm_80.ptx 44 : 1024 10784 0 0 0 0 0 0 0 
mmul10.1.sm_80.ptx 31 : 1024 20704 0 0 0 0 0 0 0 
mmul10.1.sm_80.ptx 90 : 1024 6144 0 0 0 0 0 0 0 
mmul10.1.sm_80.ptx 32 : 1024 13312 0 0 0 0 0 0 0 
mmul10.1.sm_80.ptx 33 : 1024 13504 0 0 0 0 0 0 0 
mmul10.1.sm_80.ptx 34 : 1024 10592 0 0 0 0 0 0 0 
mmul10.1.sm_80.ptx 93 : 8192 307008 0 256 256 0 0 0 0 
mmul10.1.sm_80.ptx 35 : 1024 6912 0 0 0 0 0 0 0 
mmul10.1.sm_80.ptx 94 : 8192 308768 0 256 256 0 0 0 0 
mmul10.1.sm_80.ptx 36 : 1024 6144 0 0 0 0 0 0 0 
mmul10.1.sm_80.ptx 95 : 8192 102336 0 0 0 0 0 0 0 
mmul10.1.sm_80.ptx 37 : 1024 6144 0 0 0 0 0 0 0 
mmul10.1.sm_80.ptx 38 : 1024 6144 0 0 0 0 0 0 0 
mmul10.1.sm_80.ptx 39 : 1024 46720 0 0 0 0 0 0 0 
mmul10.1.sm_80.ptx 40 : 1024 11008 0 0 0 0 0 0 0 
mmul10.1.sm_80.ptx 41 : 1024 7360 0 0 0 0 0 0 0 
mmul10.1.sm_80.ptx 42 : 1024 6688 0 0 0 0 0 0 0 
mmul10.1.sm_80.ptx 43 : 1024 6784 0 0 0 0 0 0 0 
mmul10.1.sm_80.ptx 60 : 1024 11456 0 0 0 0 0 0 0 
mmul10.1.sm_80.ptx 61 : 1024 11040 0 0 0 0 0 0 0 
mmul10.1.sm_80.ptx 62 : 1024 7328 0 0 0 0 0 0 0 
mmul10.1.sm_80.ptx 63 : 1024 6752 0 0 0 0 0 0 0 
mmul10.1.sm_80.ptx 64 : 1024 6912 0 0 0 0 0 0 0 
mmul10.1.sm_80.ptx 67 : 1024 11008 0 0 0 0 0 0 0 
mmul10.1.sm_80.ptx 68 : 1024 11392 0 0 0 0 0 0 0 
mmul10.1.sm_80.ptx 69 : 1024 11680 0 0 0 0 0 0 0 
mmul10.1.sm_80.ptx 70 : 1024 308480 0 0 0 128 32 0 0 
mmul10.1.sm_80.ptx 71 : 1024 4416 0 32 32 0 0 0 0 
mmul10.1.sm_80.ptx 72 : 1024 9472 0 0 0 0 0 0 0 
mmul10.1.sm_80.ptx 73 : 1024 6816 0 0 0 0 0 0 0 
mmul10.1.sm_80.ptx 74 : 1024 9920 0 0 0 0 0 0 0 
mmul10.1.sm_80.ptx 75 : 1024 9856 0 0 0 0 0 0 0 
mmul10.1.sm_80.ptx 76 : 1024 9536 0 0 0 0 0 0 0 
mmul10.1.sm_80.ptx 77 : 1024 288160 0 0 0 128 32 0 0 
mmul10.1.sm_80.ptx 78 : 1024 4096 0 32 32 0 0 0 0 
mmul10.1.sm_80.ptx 79 : 1024 5120 0 0 0 0 0 0 0 
mmul10.1.sm_80.ptx 80 : 1024 6144 0 0 0 0 0 0 0 
mmul10.1.sm_80.ptx 81 : 1024 0 0 0 0 0 0 0 0 
mmul10.1.sm_80.ptx 83 : 1024 6144 0 0 0 0 0 0 0 
mmul10.1.sm_80.ptx 84 : 1024 6144 0 0 0 0 0 0 0 
mmul10.1.sm_80.ptx 85 : 1024 0 0 0 0 0 0 0 0 
mmul10.1.sm_80.ptx 87 : 1024 6144 0 0 0 0 0 0 0 
mmul10.1.sm_80.ptx 88 : 1024 6144 0 0 0 0 0 0 0 
mmul10.1.sm_80.ptx 89 : 1024 6144 0 0 0 0 0 0 0 
