kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
mmul10.1.sm_80.ptx 153 : 1024 7680 0 0 0 0 0 0 0 
mmul10.1.sm_80.ptx 152 : 1024 20480 0 0 0 128 32 0 0 
mmul10.1.sm_80.ptx 151 : 1024 12032 0 0 0 0 0 0 0 
mmul10.1.sm_80.ptx 150 : 1024 11904 0 0 0 0 0 0 0 
mmul10.1.sm_80.ptx 149 : 1024 11136 0 0 0 0 0 0 0 
mmul10.1.sm_80.ptx 147 : 1024 0 0 0 0 0 0 0 0 
mmul10.1.sm_80.ptx 146 : 1024 7616 0 0 0 0 0 0 0 
mmul10.1.sm_80.ptx 145 : 1024 19584 0 0 0 0 0 0 0 
mmul10.1.sm_80.ptx 144 : 1024 6752 0 0 0 0 0 0 0 
mmul10.1.sm_80.ptx 117 : 1024 7872 0 0 0 0 0 0 0 
mmul10.1.sm_80.ptx 116 : 1024 8736 0 0 0 0 0 0 0 
mmul10.1.sm_80.ptx 113 : 8192 69632 0 0 0 0 0 0 0 
mmul10.1.sm_80.ptx 112 : 8192 75904 0 0 0 0 0 0 0 
mmul10.1.sm_80.ptx 111 : 8192 100352 0 0 0 0 0 0 0 
mmul10.1.sm_80.ptx 110 : 8192 99712 0 0 0 0 0 0 0 
mmul10.1.sm_80.ptx 109 : 8192 102528 0 0 0 0 0 0 0 
mmul10.1.sm_80.ptx 108 : 8192 104128 0 0 0 0 0 0 0 
mmul10.1.sm_80.ptx 107 : 8192 247168 0 256 256 0 0 0 0 
mmul10.1.sm_80.ptx 106 : 8192 240448 0 256 256 0 0 0 0 
mmul10.1.sm_80.ptx 105 : 8192 104448 0 0 0 0 0 0 0 
mmul10.1.sm_80.ptx 104 : 8192 106304 0 0 0 0 0 0 0 
mmul10.1.sm_80.ptx 103 : 8192 115136 0 0 0 0 0 0 0 
mmul10.1.sm_80.ptx 102 : 8192 256960 0 256 256 0 0 0 0 
mmul10.1.sm_80.ptx 101 : 8192 248512 0 256 256 0 0 0 0 
mmul10.1.sm_80.ptx 100 : 8192 105888 0 0 0 0 0 0 0 
mmul10.1.sm_80.ptx 99 : 8192 119392 0 0 0 0 0 0 0 
mmul10.1.sm_80.ptx 98 : 8192 253760 0 256 256 0 0 0 0 
mmul10.1.sm_80.ptx 97 : 8192 257792 0 256 256 0 0 0 0 
mmul10.1.sm_80.ptx 96 : 8192 102208 0 0 0 0 0 0 0 
mmul10.1.sm_80.ptx 59 : 1024 7648 0 0 0 0 0 0 0 
mmul10.1.sm_80.ptx 58 : 1024 13952 0 0 0 0 0 0 0 
mmul10.1.sm_80.ptx 57 : 1024 10176 0 0 0 0 0 0 0 
mmul10.1.sm_80.ptx 56 : 1024 12576 0 0 0 0 0 0 0 
mmul10.1.sm_80.ptx 55 : 1024 8832 0 0 0 0 0 0 0 
mmul10.1.sm_80.ptx 54 : 1024 11616 0 0 0 0 0 0 0 
mmul10.1.sm_80.ptx 53 : 1024 11584 0 0 0 0 0 0 0 
mmul10.1.sm_80.ptx 52 : 1024 10112 0 0 0 0 0 0 0 
