kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
mmul16_tiles.1.sm_80.ptx 137 : 16384 81920 0 0 0 0 0 0 0 
mmul16_tiles.1.sm_80.ptx 136 : 16384 176128 0 0 0 2048 512 0 0 
mmul16_tiles.1.sm_80.ptx 135 : 16384 147456 0 0 0 0 0 0 0 
mmul16_tiles.1.sm_80.ptx 134 : 16384 147456 0 0 0 0 0 0 0 
mmul16_tiles.1.sm_80.ptx 133 : 16384 139264 0 0 0 0 0 0 0 
mmul16_tiles.1.sm_80.ptx 132 : 16384 155648 0 0 0 0 0 0 0 
mmul16_tiles.1.sm_80.ptx 131 : 16384 81920 0 0 0 0 0 0 0 
mmul16_tiles.1.sm_80.ptx 109 : 16384 83968 0 0 0 0 0 0 0 
mmul16_tiles.1.sm_80.ptx 108 : 16384 99328 0 0 0 0 0 0 0 
mmul16_tiles.1.sm_80.ptx 105 : 65536 251392 0 0 0 0 0 0 0 
mmul16_tiles.1.sm_80.ptx 104 : 65536 453632 0 0 0 0 0 0 0 
mmul16_tiles.1.sm_80.ptx 103 : 65536 791040 0 0 0 0 0 0 0 
mmul16_tiles.1.sm_80.ptx 102 : 65536 727552 0 0 0 0 0 0 0 
mmul16_tiles.1.sm_80.ptx 101 : 65536 686080 0 0 0 0 0 0 0 
mmul16_tiles.1.sm_80.ptx 100 : 65536 608768 0 0 0 0 0 0 0 
mmul16_tiles.1.sm_80.ptx 99 : 65536 2195968 0 2048 2048 0 0 0 0 
mmul16_tiles.1.sm_80.ptx 98 : 65536 2179072 0 2048 2048 0 0 0 0 
mmul16_tiles.1.sm_80.ptx 97 : 65536 617984 0 0 0 0 0 0 0 
mmul16_tiles.1.sm_80.ptx 96 : 65536 664576 0 0 0 0 0 0 0 
mmul16_tiles.1.sm_80.ptx 95 : 65536 590848 0 0 0 0 0 0 0 
mmul16_tiles.1.sm_80.ptx 94 : 65536 2203136 0 2048 2048 0 0 0 0 
mmul16_tiles.1.sm_80.ptx 59 : 16384 147456 0 0 0 0 0 0 0 
mmul16_tiles.1.sm_80.ptx 58 : 16384 147456 0 0 0 0 0 0 0 
mmul16_tiles.1.sm_80.ptx 57 : 16384 147456 0 0 0 0 0 0 0 
mmul16_tiles.1.sm_80.ptx 56 : 16384 99680 0 0 0 0 0 0 0 
mmul16_tiles.1.sm_80.ptx 55 : 16384 66112 0 512 512 0 0 0 0 
mmul16_tiles.1.sm_80.ptx 54 : 16384 114688 0 0 0 0 0 0 0 
mmul16_tiles.1.sm_80.ptx 53 : 16384 147456 0 0 0 0 0 0 0 
mmul16_tiles.1.sm_80.ptx 52 : 16384 98304 0 0 0 0 0 0 0 
mmul16_tiles.1.sm_80.ptx 51 : 16384 98304 0 0 0 0 0 0 0 
mmul16_tiles.1.sm_80.ptx 50 : 16384 147456 0 0 0 0 0 0 0 
mmul16_tiles.1.sm_80.ptx 49 : 16384 147456 0 0 0 0 0 0 0 
mmul16_tiles.1.sm_80.ptx 48 : 16384 4938560 0 0 0 2048 512 0 0 
mmul16_tiles.1.sm_80.ptx 47 : 16384 147456 0 0 0 0 0 0 0 
mmul16_tiles.1.sm_80.ptx 46 : 16384 147456 0 0 0 0 0 0 0 
mmul16_tiles.1.sm_80.ptx 45 : 16384 116736 0 0 0 0 0 0 0 
mmul16_tiles.1.sm_80.ptx 44 : 16384 149504 0 0 0 0 0 0 0 
