kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
mmul16_tiles_9.1.sm_80.ptx 131 : 4096 20480 0 0 0 0 0 0 0 
mmul16_tiles_9.1.sm_80.ptx 130 : 4096 41664 0 0 0 512 128 0 0 
mmul16_tiles_9.1.sm_80.ptx 129 : 4096 36864 0 0 0 0 0 0 0 
mmul16_tiles_9.1.sm_80.ptx 128 : 4096 36864 0 0 0 0 0 0 0 
mmul16_tiles_9.1.sm_80.ptx 127 : 4096 36864 0 0 0 0 0 0 0 
mmul16_tiles_9.1.sm_80.ptx 126 : 4096 24576 0 0 0 0 0 0 0 
mmul16_tiles_9.1.sm_80.ptx 125 : 4096 24576 0 0 0 0 0 0 0 
mmul16_tiles_9.1.sm_80.ptx 123 : 36864 163840 0 0 0 0 0 0 0 
mmul16_tiles_9.1.sm_80.ptx 122 : 36864 221184 0 0 0 0 0 0 0 
mmul16_tiles_9.1.sm_80.ptx 121 : 36864 428416 0 0 0 0 0 0 0 
mmul16_tiles_9.1.sm_80.ptx 120 : 36864 456576 0 0 0 0 0 0 0 
mmul16_tiles_9.1.sm_80.ptx 119 : 36864 387328 0 0 0 0 0 0 0 
mmul16_tiles_9.1.sm_80.ptx 118 : 36864 280608 0 0 0 0 0 0 0 
mmul16_tiles_9.1.sm_80.ptx 117 : 36864 338656 0 0 0 0 0 0 0 
mmul16_tiles_9.1.sm_80.ptx 116 : 36864 1225504 0 1152 1152 0 0 0 0 
mmul16_tiles_9.1.sm_80.ptx 115 : 36864 1222112 0 1152 1152 0 0 0 0 
mmul16_tiles_9.1.sm_80.ptx 114 : 36864 332896 0 0 0 0 0 0 0 
mmul16_tiles_9.1.sm_80.ptx 113 : 36864 1228000 0 1152 1152 0 0 0 0 
mmul16_tiles_9.1.sm_80.ptx 112 : 36864 1224608 0 1152 1152 0 0 0 0 
mmul16_tiles_9.1.sm_80.ptx 111 : 36864 334016 0 0 0 0 0 0 0 
mmul16_tiles_9.1.sm_80.ptx 110 : 36864 1232320 0 1152 1152 0 0 0 0 
mmul16_tiles_9.1.sm_80.ptx 109 : 36864 1230048 0 1152 1152 0 0 0 0 
mmul16_tiles_9.1.sm_80.ptx 108 : 36864 334016 0 0 0 0 0 0 0 
mmul16_tiles_9.1.sm_80.ptx 107 : 36864 1230784 0 1152 1152 0 0 0 0 
mmul16_tiles_9.1.sm_80.ptx 106 : 36864 1223008 0 1152 1152 0 0 0 0 
mmul16_tiles_9.1.sm_80.ptx 105 : 36864 334016 0 0 0 0 0 0 0 
mmul16_tiles_9.1.sm_80.ptx 104 : 36864 1230560 0 1152 1152 0 0 0 0 
mmul16_tiles_9.1.sm_80.ptx 103 : 36864 1219168 0 1152 1152 0 0 0 0 
mmul16_tiles_9.1.sm_80.ptx 102 : 36864 337120 0 0 0 0 0 0 0 
mmul16_tiles_9.1.sm_80.ptx 101 : 36864 1221408 0 1152 1152 0 0 0 0 
mmul16_tiles_9.1.sm_80.ptx 100 : 36864 1216512 0 1152 1152 0 0 0 0 
mmul16_tiles_9.1.sm_80.ptx 99 : 36864 338624 0 0 0 0 0 0 0 
mmul16_tiles_9.1.sm_80.ptx 98 : 36864 1217664 0 1152 1152 0 0 0 0 
mmul16_tiles_9.1.sm_80.ptx 97 : 36864 1216512 0 1152 1152 0 0 0 0 
mmul16_tiles_9.1.sm_80.ptx 96 : 36864 338624 0 0 0 0 0 0 0 
mmul16_tiles_9.1.sm_80.ptx 95 : 36864 1217664 0 1152 1152 0 0 0 0 
mmul16_tiles_9.1.sm_80.ptx 94 : 36864 1216512 0 1152 1152 0 0 0 0 
mmul16_tiles_9.1.sm_80.ptx 93 : 36864 338624 0 0 0 0 0 0 0 
mmul16_tiles_9.1.sm_80.ptx 92 : 36864 1217664 0 1152 1152 0 0 0 0 
mmul16_tiles_9.1.sm_80.ptx 58 : 4096 28160 0 0 0 0 0 0 0 
mmul16_tiles_9.1.sm_80.ptx 57 : 4096 35328 0 0 0 0 0 0 0 
mmul16_tiles_9.1.sm_80.ptx 56 : 4096 45568 0 0 0 0 0 0 0 
mmul16_tiles_9.1.sm_80.ptx 55 : 4096 41984 0 0 0 0 0 0 0 
