kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
mmul7.1.sm_80.ptx 153 : 16384 126496 0 0 0 0 0 0 0 
mmul7.1.sm_80.ptx 152 : 16384 170656 0 0 0 2048 512 0 0 
mmul7.1.sm_80.ptx 151 : 16384 193152 0 0 0 0 0 0 0 
mmul7.1.sm_80.ptx 150 : 16384 190464 0 0 0 0 0 0 0 
mmul7.1.sm_80.ptx 149 : 16384 178176 0 0 0 0 0 0 0 
mmul7.1.sm_80.ptx 147 : 65536 312512 0 0 0 0 0 0 0 
mmul7.1.sm_80.ptx 146 : 65536 481920 0 0 0 0 0 0 0 
mmul7.1.sm_80.ptx 145 : 65536 997088 0 0 0 0 0 0 0 
mmul7.1.sm_80.ptx 144 : 65536 466496 0 0 0 0 0 0 0 
mmul7.1.sm_80.ptx 117 : 65536 494080 0 0 0 0 0 0 0 
mmul7.1.sm_80.ptx 116 : 65536 515584 0 0 0 0 0 0 0 
mmul7.1.sm_80.ptx 113 : 524288 4127328 0 0 0 0 0 0 0 
mmul7.1.sm_80.ptx 112 : 524288 4731840 0 0 0 0 0 0 0 
mmul7.1.sm_80.ptx 111 : 524288 6304224 0 0 0 0 0 0 0 
mmul7.1.sm_80.ptx 110 : 524288 6360480 0 0 0 0 0 0 0 
mmul7.1.sm_80.ptx 109 : 524288 6361408 0 0 0 0 0 0 0 
mmul7.1.sm_80.ptx 108 : 524288 6335904 0 0 0 0 0 0 0 
mmul7.1.sm_80.ptx 107 : 524288 19437056 0 16384 16384 0 0 0 0 
mmul7.1.sm_80.ptx 106 : 524288 19081472 0 16384 16384 0 0 0 0 
mmul7.1.sm_80.ptx 105 : 524288 6578752 0 0 0 0 0 0 0 
mmul7.1.sm_80.ptx 104 : 524288 6488160 0 0 0 0 0 0 0 
mmul7.1.sm_80.ptx 103 : 524288 6677344 0 0 0 0 0 0 0 
mmul7.1.sm_80.ptx 102 : 524288 20286496 0 16384 16384 0 0 0 0 
mmul7.1.sm_80.ptx 101 : 524288 20117344 0 16384 16384 0 0 0 0 
mmul7.1.sm_80.ptx 100 : 524288 6584352 0 0 0 0 0 0 0 
mmul7.1.sm_80.ptx 99 : 524288 6912448 0 0 0 0 0 0 0 
mmul7.1.sm_80.ptx 98 : 524288 20371232 0 16384 16384 0 0 0 0 
mmul7.1.sm_80.ptx 97 : 524288 20215328 0 16384 16384 0 0 0 0 
mmul7.1.sm_80.ptx 96 : 524288 6337632 0 0 0 0 0 0 0 
mmul7.1.sm_80.ptx 59 : 16384 116736 0 0 0 0 0 0 0 
mmul7.1.sm_80.ptx 58 : 16384 176128 0 0 0 0 0 0 0 
mmul7.1.sm_80.ptx 57 : 16384 116736 0 0 0 0 0 0 0 
mmul7.1.sm_80.ptx 56 : 16384 176128 0 0 0 0 0 0 0 
mmul7.1.sm_80.ptx 55 : 16384 124928 0 0 0 0 0 0 0 
mmul7.1.sm_80.ptx 54 : 16384 178688 0 0 0 0 0 0 0 
mmul7.1.sm_80.ptx 53 : 16384 183296 0 0 0 0 0 0 0 
mmul7.1.sm_80.ptx 52 : 16384 116736 0 0 0 0 0 0 0 
mmul7.1.sm_80.ptx 51 : 16384 170496 0 0 0 0 0 0 0 
mmul7.1.sm_80.ptx 50 : 16384 115200 0 0 0 0 0 0 0 
mmul7.1.sm_80.ptx 49 : 16384 115200 0 0 0 0 0 0 0 
mmul7.1.sm_80.ptx 48 : 16384 182784 0 0 0 0 0 0 0 
mmul7.1.sm_80.ptx 47 : 16384 186368 0 0 0 0 0 0 0 
mmul7.1.sm_80.ptx 46 : 16384 183296 0 0 0 0 0 0 0 
mmul7.1.sm_80.ptx 45 : 16384 116736 0 0 0 0 0 0 0 
mmul7.1.sm_80.ptx 44 : 16384 172544 0 0 0 0 0 0 0 
mmul7.1.sm_80.ptx 31 : 16384 331264 0 0 0 0 0 0 0 
