kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
mmul_diff_tile_size_64.1.sm_80.ptx 195 : 1024 7072 0 0 0 0 0 0 0 
mmul_diff_tile_size_64.1.sm_80.ptx 193 : 4096 22592 0 0 0 0 0 0 0 
mmul_diff_tile_size_64.1.sm_80.ptx 192 : 4096 35584 0 0 0 0 0 0 0 
mmul_diff_tile_size_64.1.sm_80.ptx 191 : 4096 53440 0 0 0 0 0 0 0 
mmul_diff_tile_size_64.1.sm_80.ptx 190 : 4096 31776 0 0 0 512 128 0 0 
mmul_diff_tile_size_64.1.sm_80.ptx 189 : 4096 50080 0 0 0 0 0 0 0 
mmul_diff_tile_size_64.1.sm_80.ptx 188 : 4096 47456 0 0 0 0 0 0 0 
mmul_diff_tile_size_64.1.sm_80.ptx 187 : 4096 51008 0 0 0 0 0 0 0 
mmul_diff_tile_size_64.1.sm_80.ptx 186 : 4096 25504 0 0 0 0 0 0 0 
mmul_diff_tile_size_64.1.sm_80.ptx 184 : 73728 552928 0 0 0 0 0 0 0 
mmul_diff_tile_size_64.1.sm_80.ptx 183 : 73728 573312 0 0 0 0 0 0 0 
mmul_diff_tile_size_64.1.sm_80.ptx 182 : 73728 875776 0 0 0 0 0 0 0 
mmul_diff_tile_size_64.1.sm_80.ptx 181 : 73728 875776 0 0 0 0 0 0 0 
mmul_diff_tile_size_64.1.sm_80.ptx 180 : 73728 1298912 0 0 0 0 0 0 0 
mmul_diff_tile_size_64.1.sm_80.ptx 179 : 73728 569888 0 0 0 0 0 0 0 
mmul_diff_tile_size_64.1.sm_80.ptx 178 : 73728 776128 0 0 0 0 0 0 0 
mmul_diff_tile_size_64.1.sm_80.ptx 177 : 73728 2796288 0 2304 2304 0 0 0 0 
mmul_diff_tile_size_64.1.sm_80.ptx 176 : 73728 2815232 0 2304 2304 0 0 0 0 
mmul_diff_tile_size_64.1.sm_80.ptx 175 : 73728 926464 0 0 0 0 0 0 0 
mmul_diff_tile_size_64.1.sm_80.ptx 174 : 73728 2922304 0 2304 2304 0 0 0 0 
mmul_diff_tile_size_64.1.sm_80.ptx 173 : 73728 2918208 0 2304 2304 0 0 0 0 
mmul_diff_tile_size_64.1.sm_80.ptx 172 : 73728 1006976 0 0 0 0 0 0 0 
