kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
mmul_diff_tile_size_64_load_SM_first.1.sm_80.ptx 227 : 1024 11328 0 0 0 0 0 0 0 
mmul_diff_tile_size_64_load_SM_first.1.sm_80.ptx 226 : 1024 60864 0 0 0 128 32 0 0 
mmul_diff_tile_size_64_load_SM_first.1.sm_80.ptx 225 : 1024 127456 0 0 0 0 0 0 0 
mmul_diff_tile_size_64_load_SM_first.1.sm_80.ptx 224 : 1024 454656 0 1024 32 0 0 0 0 
mmul_diff_tile_size_64_load_SM_first.1.sm_80.ptx 223 : 1024 601696 0 1024 32 0 0 0 0 
mmul_diff_tile_size_64_load_SM_first.1.sm_80.ptx 222 : 1024 77024 0 0 0 0 0 0 0 
mmul_diff_tile_size_64_load_SM_first.1.sm_80.ptx 221 : 1024 246048 0 1024 32 0 0 0 0 
mmul_diff_tile_size_64_load_SM_first.1.sm_80.ptx 220 : 1024 208032 0 1024 32 0 0 0 0 
mmul_diff_tile_size_64_load_SM_first.1.sm_80.ptx 219 : 1024 266368 0 0 0 128 32 0 0 
mmul_diff_tile_size_64_load_SM_first.1.sm_80.ptx 218 : 1024 174464 0 0 0 128 32 0 0 
mmul_diff_tile_size_64_load_SM_first.1.sm_80.ptx 217 : 1024 151712 0 0 0 128 32 0 0 
mmul_diff_tile_size_64_load_SM_first.1.sm_80.ptx 216 : 1024 311680 0 0 0 0 0 0 0 
mmul_diff_tile_size_64_load_SM_first.1.sm_80.ptx 215 : 1024 453696 0 1024 32 0 0 0 0 
mmul_diff_tile_size_64_load_SM_first.1.sm_80.ptx 214 : 1024 501152 0 1024 32 0 0 0 0 
mmul_diff_tile_size_64_load_SM_first.1.sm_80.ptx 213 : 1024 167168 0 0 0 0 0 0 0 
mmul_diff_tile_size_64_load_SM_first.1.sm_80.ptx 212 : 1024 346144 0 1024 32 0 0 0 0 
mmul_diff_tile_size_64_load_SM_first.1.sm_80.ptx 211 : 1024 259008 0 1024 32 0 0 0 0 
mmul_diff_tile_size_64_load_SM_first.1.sm_80.ptx 210 : 1024 181984 0 0 0 128 32 0 0 
mmul_diff_tile_size_64_load_SM_first.1.sm_80.ptx 209 : 1024 113856 0 0 0 128 32 0 0 
mmul_diff_tile_size_64_load_SM_first.1.sm_80.ptx 208 : 1024 386976 0 0 0 128 32 0 0 
mmul_diff_tile_size_64_load_SM_first.1.sm_80.ptx 207 : 1024 135040 0 0 0 0 0 0 0 
mmul_diff_tile_size_64_load_SM_first.1.sm_80.ptx 206 : 1024 454656 0 1024 32 0 0 0 0 
mmul_diff_tile_size_64_load_SM_first.1.sm_80.ptx 205 : 1024 517120 0 1024 32 0 0 0 0 
mmul_diff_tile_size_64_load_SM_first.1.sm_80.ptx 204 : 1024 177024 0 0 0 0 0 0 0 
mmul_diff_tile_size_64_load_SM_first.1.sm_80.ptx 203 : 1024 311392 0 1024 32 0 0 0 0 
mmul_diff_tile_size_64_load_SM_first.1.sm_80.ptx 202 : 1024 272640 0 1024 32 0 0 0 0 
mmul_diff_tile_size_64_load_SM_first.1.sm_80.ptx 201 : 1024 171840 0 0 0 128 32 0 0 
mmul_diff_tile_size_64_load_SM_first.1.sm_80.ptx 200 : 1024 181920 0 0 0 128 32 0 0 
mmul_diff_tile_size_64_load_SM_first.1.sm_80.ptx 199 : 1024 372256 0 0 0 128 32 0 0 
mmul_diff_tile_size_64_load_SM_first.1.sm_80.ptx 198 : 1024 188416 0 0 0 0 0 0 0 
mmul_diff_tile_size_64_load_SM_first.1.sm_80.ptx 197 : 1024 446592 0 1024 32 0 0 0 0 
mmul_diff_tile_size_64_load_SM_first.1.sm_80.ptx 196 : 1024 448832 0 1024 32 0 0 0 0 
mmul_diff_tile_size_64_load_SM_first.1.sm_80.ptx 195 : 1024 171232 0 0 0 0 0 0 0 
mmul_diff_tile_size_64_load_SM_first.1.sm_80.ptx 194 : 1024 391488 0 1024 32 0 0 0 0 
mmul_diff_tile_size_64_load_SM_first.1.sm_80.ptx 193 : 1024 728736 0 1024 32 0 0 0 0 
mmul_diff_tile_size_64_load_SM_first.1.sm_80.ptx 192 : 1024 88256 0 0 0 128 32 0 0 
mmul_diff_tile_size_64_load_SM_first.1.sm_80.ptx 191 : 1024 317280 0 0 0 128 32 0 0 
mmul_diff_tile_size_64_load_SM_first.1.sm_80.ptx 190 : 1024 20608 0 0 0 0 0 0 0 
mmul_diff_tile_size_64_load_SM_first.1.sm_80.ptx 189 : 1024 12544 0 0 0 0 0 0 0 
mmul_diff_tile_size_64_load_SM_first.1.sm_80.ptx 188 : 1024 18560 0 0 0 0 0 0 0 
mmul_diff_tile_size_64_load_SM_first.1.sm_80.ptx 187 : 1024 57632 0 0 0 128 32 0 0 
mmul_diff_tile_size_64_load_SM_first.1.sm_80.ptx 186 : 1024 128128 0 0 0 0 0 0 0 
mmul_diff_tile_size_64_load_SM_first.1.sm_80.ptx 185 : 1024 454656 0 1024 32 0 0 0 0 
mmul_diff_tile_size_64_load_SM_first.1.sm_80.ptx 184 : 1024 604096 0 1024 32 0 0 0 0 
mmul_diff_tile_size_64_load_SM_first.1.sm_80.ptx 183 : 1024 227648 0 0 0 0 0 0 0 
mmul_diff_tile_size_64_load_SM_first.1.sm_80.ptx 182 : 1024 318048 0 1024 32 0 0 0 0 
mmul_diff_tile_size_64_load_SM_first.1.sm_80.ptx 181 : 1024 275776 0 1024 32 0 0 0 0 
mmul_diff_tile_size_64_load_SM_first.1.sm_80.ptx 180 : 1024 192224 0 0 0 128 32 0 0 
mmul_diff_tile_size_64_load_SM_first.1.sm_80.ptx 179 : 1024 107872 0 0 0 128 32 0 0 
mmul_diff_tile_size_64_load_SM_first.1.sm_80.ptx 178 : 1024 191808 0 0 0 128 32 0 0 
mmul_diff_tile_size_64_load_SM_first.1.sm_80.ptx 177 : 1024 127200 0 0 0 0 0 0 0 
mmul_diff_tile_size_64_load_SM_first.1.sm_80.ptx 176 : 1024 455680 0 1024 32 0 0 0 0 
mmul_diff_tile_size_64_load_SM_first.1.sm_80.ptx 175 : 1024 576928 0 1024 32 0 0 0 0 
mmul_diff_tile_size_64_load_SM_first.1.sm_80.ptx 174 : 1024 228672 0 0 0 0 0 0 0 
mmul_diff_tile_size_64_load_SM_first.1.sm_80.ptx 173 : 1024 342112 0 1024 32 0 0 0 0 
mmul_diff_tile_size_64_load_SM_first.1.sm_80.ptx 172 : 1024 279744 0 1024 32 0 0 0 0 
mmul_diff_tile_size_64_load_SM_first.1.sm_80.ptx 171 : 1024 174176 0 0 0 128 32 0 0 
mmul_diff_tile_size_64_load_SM_first.1.sm_80.ptx 170 : 1024 170208 0 0 0 128 32 0 0 
mmul_diff_tile_size_64_load_SM_first.1.sm_80.ptx 169 : 1024 197760 0 0 0 128 32 0 0 
mmul_diff_tile_size_64_load_SM_first.1.sm_80.ptx 168 : 1024 128480 0 0 0 0 0 0 0 
mmul_diff_tile_size_64_load_SM_first.1.sm_80.ptx 167 : 1024 455680 0 1024 32 0 0 0 0 
mmul_diff_tile_size_64_load_SM_first.1.sm_80.ptx 166 : 1024 491328 0 1024 32 0 0 0 0 
