kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
mmul_diff_tile_size_64_load_SM_first_concurrent.1.sm_80.ptx 94 : 1024 12096 0 0 0 0 0 0 0 
mmul_diff_tile_size_64_load_SM_first_concurrent.1.sm_80.ptx 93 : 1024 36384 0 0 0 128 32 0 0 
mmul_diff_tile_size_64_load_SM_first_concurrent.1.sm_80.ptx 92 : 1024 20544 0 0 0 0 0 0 0 
mmul_diff_tile_size_64_load_SM_first_concurrent.1.sm_80.ptx 91 : 1024 12512 0 0 0 0 0 0 0 
mmul_diff_tile_size_64_load_SM_first_concurrent.1.sm_80.ptx 90 : 1024 29856 0 0 0 0 0 0 0 
mmul_diff_tile_size_64_load_SM_first_concurrent.1.sm_80.ptx 89 : 1024 100832 0 0 0 0 0 0 0 
mmul_diff_tile_size_64_load_SM_first_concurrent.1.sm_80.ptx 58 : 1024 11680 0 0 0 0 0 0 0 
mmul_diff_tile_size_64_load_SM_first_concurrent.1.sm_80.ptx 57 : 1024 7424 0 0 0 0 0 0 0 
mmul_diff_tile_size_64_load_SM_first_concurrent.1.sm_80.ptx 56 : 1024 11104 0 0 0 0 0 0 0 
mmul_diff_tile_size_64_load_SM_first_concurrent.1.sm_80.ptx 55 : 1024 7424 0 0 0 0 0 0 0 
mmul_diff_tile_size_64_load_SM_first_concurrent.1.sm_80.ptx 54 : 1024 10752 0 0 0 0 0 0 0 
mmul_diff_tile_size_64_load_SM_first_concurrent.1.sm_80.ptx 53 : 1024 7520 0 0 0 0 0 0 0 
mmul_diff_tile_size_64_load_SM_first_concurrent.1.sm_80.ptx 52 : 1024 7392 0 0 0 0 0 0 0 
mmul_diff_tile_size_64_load_SM_first_concurrent.1.sm_80.ptx 51 : 1024 11392 0 0 0 0 0 0 0 
mmul_diff_tile_size_64_load_SM_first_concurrent.1.sm_80.ptx 50 : 1024 11808 0 0 0 0 0 0 0 
mmul_diff_tile_size_64_load_SM_first_concurrent.1.sm_80.ptx 49 : 1024 11680 0 0 0 0 0 0 0 
mmul_diff_tile_size_64_load_SM_first_concurrent.1.sm_80.ptx 48 : 1024 11680 0 0 0 0 0 0 0 
mmul_diff_tile_size_64_load_SM_first_concurrent.1.sm_80.ptx 47 : 1024 12160 0 0 0 0 0 0 0 
mmul_diff_tile_size_64_load_SM_first_concurrent.1.sm_80.ptx 46 : 1024 22304 0 0 0 0 0 0 0 
mmul_diff_tile_size_64_load_SM_first_concurrent.1.sm_80.ptx 45 : 1024 15104 0 0 0 0 0 0 0 
mmul_diff_tile_size_64_load_SM_first_concurrent.1.sm_80.ptx 44 : 1024 7808 0 0 0 0 0 0 0 
mmul_diff_tile_size_64_load_SM_first_concurrent.1.sm_80.ptx 43 : 1024 12000 0 0 0 0 0 0 0 
mmul_diff_tile_size_64_load_SM_first_concurrent.1.sm_80.ptx 30 : 1024 20704 0 0 0 0 0 0 0 
mmul_diff_tile_size_64_load_SM_first_concurrent.1.sm_80.ptx 31 : 1024 13312 0 0 0 0 0 0 0 
mmul_diff_tile_size_64_load_SM_first_concurrent.1.sm_80.ptx 32 : 1024 13504 0 0 0 0 0 0 0 
mmul_diff_tile_size_64_load_SM_first_concurrent.1.sm_80.ptx 33 : 1024 10592 0 0 0 0 0 0 0 
mmul_diff_tile_size_64_load_SM_first_concurrent.1.sm_80.ptx 34 : 1024 6912 0 0 0 0 0 0 0 
mmul_diff_tile_size_64_load_SM_first_concurrent.1.sm_80.ptx 35 : 1024 6144 0 0 0 0 0 0 0 
mmul_diff_tile_size_64_load_SM_first_concurrent.1.sm_80.ptx 36 : 1024 6144 0 0 0 0 0 0 0 
mmul_diff_tile_size_64_load_SM_first_concurrent.1.sm_80.ptx 37 : 1024 6144 0 0 0 0 0 0 0 
mmul_diff_tile_size_64_load_SM_first_concurrent.1.sm_80.ptx 38 : 1024 6144 0 0 0 0 0 0 0 
mmul_diff_tile_size_64_load_SM_first_concurrent.1.sm_80.ptx 39 : 1024 6144 0 0 0 0 0 0 0 
mmul_diff_tile_size_64_load_SM_first_concurrent.1.sm_80.ptx 40 : 1024 35584 0 0 0 0 0 0 0 
mmul_diff_tile_size_64_load_SM_first_concurrent.1.sm_80.ptx 41 : 1024 11360 0 0 0 0 0 0 0 
mmul_diff_tile_size_64_load_SM_first_concurrent.1.sm_80.ptx 42 : 1024 11680 0 0 0 0 0 0 0 
mmul_diff_tile_size_64_load_SM_first_concurrent.1.sm_80.ptx 59 : 1024 11072 0 0 0 0 0 0 0 
mmul_diff_tile_size_64_load_SM_first_concurrent.1.sm_80.ptx 60 : 1024 361440 0 0 0 128 32 0 0 
mmul_diff_tile_size_64_load_SM_first_concurrent.1.sm_80.ptx 61 : 1024 373568 0 0 0 128 32 0 0 
mmul_diff_tile_size_64_load_SM_first_concurrent.1.sm_80.ptx 62 : 1024 344128 0 1024 32 0 0 0 0 
mmul_diff_tile_size_64_load_SM_first_concurrent.1.sm_80.ptx 63 : 1024 691168 0 1024 32 0 0 0 0 
mmul_diff_tile_size_64_load_SM_first_concurrent.1.sm_80.ptx 64 : 1024 205312 0 0 0 0 0 0 0 
mmul_diff_tile_size_64_load_SM_first_concurrent.1.sm_80.ptx 65 : 1024 11296 0 0 0 0 0 0 0 
mmul_diff_tile_size_64_load_SM_first_concurrent.1.sm_80.ptx 66 : 1024 12064 0 0 0 0 0 0 0 
mmul_diff_tile_size_64_load_SM_first_concurrent.1.sm_80.ptx 67 : 1024 223072 0 0 0 0 0 0 0 
mmul_diff_tile_size_64_load_SM_first_concurrent.1.sm_80.ptx 68 : 1024 213376 0 0 0 128 32 0 0 
mmul_diff_tile_size_64_load_SM_first_concurrent.1.sm_80.ptx 69 : 1024 432544 0 0 0 128 32 0 0 
mmul_diff_tile_size_64_load_SM_first_concurrent.1.sm_80.ptx 70 : 1024 214880 0 1024 32 0 0 0 0 
mmul_diff_tile_size_64_load_SM_first_concurrent.1.sm_80.ptx 71 : 1024 227008 0 1024 32 0 0 0 0 
mmul_diff_tile_size_64_load_SM_first_concurrent.1.sm_80.ptx 72 : 1024 51808 0 0 0 0 0 0 0 
mmul_diff_tile_size_64_load_SM_first_concurrent.1.sm_80.ptx 73 : 1024 16000 0 0 0 0 0 0 0 
mmul_diff_tile_size_64_load_SM_first_concurrent.1.sm_80.ptx 74 : 1024 17600 0 0 0 0 0 0 0 
